epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,155.223,1.23056,2.85209,5.0302,0.01277,7.7192,0.64608,0.0683,0.08329,0.06048,0.64723,0.06797,0.08283,0.06005,1.03853,2.04251,5.05542,0.01375,0,0.00012271,0.00012271,0.00012271
2,277.43,1.05961,2.03271,3.78079,0.00994,4.58646,0.46733,0.32195,0.26957,0.19411,0.46706,0.32396,0.2703,0.18894,0.97297,1.74074,3.62411,0.01236,0,0.000243608,0.000243608,0.000243608
3,397.461,1.05061,1.78676,2.88719,0.0096,3.11595,0.51873,0.40927,0.37672,0.27305,0.51957,0.40788,0.37806,0.26779,0.94433,1.55099,2.83023,0.01176,0,0.000362063,0.000362063,0.000362063
4,516.658,1.0248,1.66851,2.38368,0.00931,2.4722,0.44834,0.6042,0.5055,0.38078,0.45125,0.60531,0.51224,0.37815,0.90481,1.36356,2.1721,0.0111,0,0.000359011,0.000359011,0.000359011
5,636.373,1.0043,1.59187,2.04432,0.009,1.91618,0.45103,0.60251,0.50202,0.38732,0.45455,0.60729,0.50899,0.379,0.86986,1.29616,1.93612,0.01047,0,0.000355348,0.000355348,0.000355348
6,756.404,0.98668,1.52229,1.77232,0.00873,1.55307,0.44646,0.62193,0.51899,0.39394,0.44774,0.62288,0.52606,0.38151,0.8512,1.30993,1.73828,0.01002,0,0.000351685,0.000351685,0.000351685
7,876.097,0.96022,1.469,1.61556,0.00837,1.28296,0.48903,0.71543,0.56761,0.44039,0.49103,0.71928,0.57103,0.43178,0.82843,1.21173,1.39628,0.00952,0,0.000348022,0.000348022,0.000348022
8,995.129,0.94531,1.44111,1.49571,0.0083,1.04584,0.4279,0.6813,0.47511,0.36957,0.43056,0.68534,0.48354,0.35986,0.83318,1.25117,1.38995,0.00972,0,0.000344359,0.000344359,0.000344359
9,1114.57,0.93903,1.40708,1.40176,0.00821,0.86027,0.44879,0.68719,0.50255,0.38701,0.45166,0.68688,0.51247,0.3858,0.84432,1.22293,1.27599,0.00993,0,0.000340696,0.000340696,0.000340696
10,1234.23,0.93208,1.38788,1.32389,0.00814,0.80069,0.43698,0.7203,0.5201,0.40989,0.43511,0.72973,0.52409,0.40587,0.81314,1.17058,1.13813,0.00953,0,0.000337033,0.000337033,0.000337033
